State,Date,Daily_Count
Maryland,2021-01-01,0
Maryland,2021-01-10,26455
Maryland,2021-01-11,3012
Maryland,2021-01-12,2665
Maryland,2021-01-13,2516
Maryland,2021-01-14,2948
Maryland,2021-01-15,2924
Maryland,2021-01-16,3292
Maryland,2021-01-17,2414
Maryland,2021-01-18,1769
Maryland,2021-01-19,1972
Maryland,2021-01-02,-47015
Maryland,2021-01-20,49182
Maryland,2021-01-21,2166
Maryland,2021-01-22,2396
Maryland,2021-01-23,2392
Maryland,2021-01-24,2145
Maryland,2021-01-25,1686
Maryland,2021-01-26,1482
Maryland,2021-01-27,1939
Maryland,2021-01-28,2190
Maryland,2021-01-29,1880
Maryland,2021-01-03,-65310
Maryland,2021-01-30,67407
Maryland,2021-01-31,1747
Maryland,2021-01-04,-66671
Maryland,2021-01-05,1956
Maryland,2021-01-06,3146
Maryland,2021-01-07,2970
Maryland,2021-01-08,3732
Maryland,2021-01-09,3758
Maryland,2020-10-01,-177854
Maryland,2020-10-10,5285
Maryland,2020-10-11,562
Maryland,2020-10-12,504
Maryland,2020-10-13,482
Maryland,2020-10-14,575
Maryland,2020-10-15,630
Maryland,2020-10-16,781
Maryland,2020-10-17,798
Maryland,2020-10-18,530
Maryland,2020-10-19,497
Maryland,2020-10-02,-9932
Maryland,2020-10-20,10522
Maryland,2020-10-21,492
Maryland,2020-10-22,743
Maryland,2020-10-23,712
Maryland,2020-10-24,796
Maryland,2020-10-25,792
Maryland,2020-10-26,565
Maryland,2020-10-27,897
Maryland,2020-10-28,684
Maryland,2020-10-29,962
Maryland,2020-10-03,-16568
Maryland,2020-10-30,17495
Maryland,2020-10-31,967
Maryland,2020-10-04,-17991
Maryland,2020-10-05,501
Maryland,2020-10-06,413
Maryland,2020-10-07,460
Maryland,2020-10-08,761
Maryland,2020-10-09,734
Maryland,2020-11-01,15986
Maryland,2020-11-10,10564
Maryland,2020-11-11,1714
Maryland,2020-11-12,1477
Maryland,2020-11-13,1869
Maryland,2020-11-14,2321
Maryland,2020-11-15,1840
Maryland,2020-11-16,1726
Maryland,2020-11-17,2149
Maryland,2020-11-18,2018
Maryland,2020-11-19,2910
Maryland,2020-11-02,-27738
Maryland,2020-11-20,30091
Maryland,2020-11-21,2885
Maryland,2020-11-22,2168
Maryland,2020-11-23,1658
Maryland,2020-11-24,1667
Maryland,2020-11-25,2697
Maryland,2020-11-26,2319
Maryland,2020-11-27,2378
Maryland,2020-11-28,1590
Maryland,2020-11-29,1999
Maryland,2020-11-03,-48681
Maryland,2020-11-30,50604
Maryland,2020-11-04,-49604
Maryland,2020-11-05,1198
Maryland,2020-11-06,1541
Maryland,2020-11-07,1410
Maryland,2020-11-08,1081
Maryland,2020-11-09,1375
Maryland,2020-12-01,45764
Maryland,2020-12-10,24720
Maryland,2020-12-11,2616
Maryland,2020-12-12,3538
Maryland,2020-12-13,2638
Maryland,2020-12-14,2314
Maryland,2020-12-15,2401
Maryland,2020-12-16,2405
Maryland,2020-12-17,2217
Maryland,2020-12-18,2569
Maryland,2020-12-19,2201
Maryland,2020-12-02,-45399
Maryland,2020-12-20,47453
Maryland,2020-12-21,2265
Maryland,2020-12-22,2324
Maryland,2020-12-23,2465
Maryland,2020-12-24,2866
Maryland,2020-12-25,2432
Maryland,2020-12-26,2280
Maryland,2020-12-27,1758
Maryland,2020-12-28,1985
Maryland,2020-12-29,1878
Maryland,2020-12-03,-65662
Maryland,2020-12-30,68290
Maryland,2020-12-31,2973
Maryland,2020-12-04,-67471
Maryland,2020-12-05,3193
Maryland,2020-12-06,2643
Maryland,2020-12-07,2302
Maryland,2020-12-08,2632
Maryland,2020-12-09,2692
Maryland,2021-02-01,132983
Maryland,2021-02-10,11030
Maryland,2021-02-11,1199
Maryland,2021-02-12,1112
Maryland,2021-02-13,1159
Maryland,2021-02-14,847
Maryland,2021-02-15,722
Maryland,2021-02-16,516
Maryland,2021-02-17,759
Maryland,2021-02-18,986
Maryland,2021-02-19,1008
Maryland,2021-02-02,-18433
Maryland,2021-02-20,19196
Maryland,2021-02-21,618
Maryland,2021-02-22,611
Maryland,2021-02-23,662
Maryland,2021-02-24,862
Maryland,2021-02-25,976
Maryland,2021-02-26,970
Maryland,2021-02-27,836
Maryland,2021-02-28,827
Maryland,2021-02-03,-24616
Maryland,2021-02-04,1554
Maryland,2021-02-05,1547
Maryland,2021-02-06,1500
Maryland,2021-02-07,1566
Maryland,2021-02-08,903
Maryland,2021-02-09,976
Maryland,2021-03-01,17173
Maryland,2020-03-10,-382696
Maryland,2020-03-11,3
Maryland,2020-03-12,3
Maryland,2020-03-13,5
Maryland,2020-03-14,9
Maryland,2020-03-15,5
