state,date,positive cases,negative cases
Maryland,1/1/21,280219,2538142
Maryland,1/10/21,306674,2636065
Maryland,1/11/21,309686,2649578
Maryland,1/12/21,312351,2658742
Maryland,1/13/21,314867,2667562
Maryland,1/14/21,317815,2679345
Maryland,1/15/21,320739,2691673
Maryland,1/16/21,324031,2705207
Maryland,1/17/21,326445,2716464
Maryland,1/18/21,328214,2724491
Maryland,1/19/21,330186,2731921
Maryland,1/2/21,283171,2550540
Maryland,1/20/21,332353,2740161
Maryland,1/21/21,334519,2749627
Maryland,1/22/21,336915,2760718
Maryland,1/23/21,339307,2771726
Maryland,1/24/21,341452,2779405
Maryland,1/25/21,343138,2787084
Maryland,1/26/21,344620,2793416
Maryland,1/27/21,346559,2801971
Maryland,1/28/21,348749,2810526
Maryland,1/29/21,350629,2821179
Maryland,1/3/21,285319,2558381
Maryland,1/30/21,352726,2831813
Maryland,1/31/21,354473,2841114
Maryland,1/4/21,287802,2569672
Maryland,1/5/21,289758,2575342
Maryland,1/6/21,292904,2586246
Maryland,1/7/21,295874,2595614
Maryland,1/8/21,299606,2608591
Maryland,1/9/21,303364,2621245
Maryland,10/1/20,125510,1502690
Maryland,10/10/20,130795,1589007
Maryland,10/11/20,131357,1600487
Maryland,10/12/20,131861,1610574
Maryland,10/13/20,132343,1618966
Maryland,10/14/20,132918,1627736
Maryland,10/15/20,133548,1637287
Maryland,10/16/20,134329,1648128
Maryland,10/17/20,135127,1659777
Maryland,10/18/20,135657,1671005
Maryland,10/19/20,136154,1680568
Maryland,10/2/20,126222,1513563
Maryland,10/20/20,136744,1688161
Maryland,10/21/20,137236,1694771
Maryland,10/22/20,137979,1705376
Maryland,10/23/20,138691,1716603
Maryland,10/24/20,139487,1727440
Maryland,10/25/20,140279,1738650
Maryland,10/26/20,140844,1747527
Maryland,10/27/20,141741,1756353
Maryland,10/28/20,142425,1763527
Maryland,10/29/20,143387,1773461
Maryland,10/3/20,126819,1522906
Maryland,10/30/20,144314,1782204
Maryland,10/31/20,145281,1793391
Maryland,10/4/20,127290,1532557
Maryland,10/5/20,127791,1540526
Maryland,10/6/20,128204,1547023
Maryland,10/7/20,128664,1555240
Maryland,10/8/20,129425,1566874
Maryland,10/9/20,130159,1577208
Maryland,11/1/20,146145,1803035
Maryland,11/10/20,156709,1891138
Maryland,11/11/20,158423,1902413
Maryland,11/12/20,159900,1912085
Maryland,11/13/20,161769,1922533
Maryland,11/14/20,164090,1934079
Maryland,11/15/20,165930,1944536
Maryland,11/16/20,167656,1955619
Maryland,11/17/20,169805,1965796
Maryland,11/18/20,171823,1977512
Maryland,11/19/20,174733,1994775
Maryland,11/2/20,146995,1813450
Maryland,11/20/20,177086,2008345
Maryland,11/21/20,179971,2026318
Maryland,11/22/20,182139,2043250
Maryland,11/23/20,183797,2054695
Maryland,11/24/20,185464,2066560
Maryland,11/25/20,188161,2082499
Maryland,11/26/20,190480,2096687
Maryland,11/27/20,192858,2112687
Maryland,11/28/20,194448,2123122
Maryland,11/29/20,196447,2136392
Maryland,11/3/20,147766,1820134
Maryland,11/30/20,198370,2146539
Maryland,11/4/20,148766,1830301
Maryland,11/5/20,149964,1840059
Maryland,11/6/20,151505,1851665
Maryland,11/7/20,152915,1862399
Maryland,11/8/20,153996,1872296
Maryland,11/9/20,155371,1882274
Maryland,12/1/20,201135,2156576
Maryland,12/10/20,225855,2284351
Maryland,12/11/20,228471,2298689
Maryland,12/12/20,232009,2315445
Maryland,12/13/20,234647,2331001
Maryland,12/14/20,236961,2344023
Maryland,12/15/20,239362,2354515
Maryland,12/16/20,241767,2365844
Maryland,12/17/20,243984,2374542
Maryland,12/18/20,246553,2387177
Maryland,12/19/20,248754,2396720
Maryland,12/2/20,203355,2168003
Maryland,12/20/20,250808,2407783
Maryland,12/21/20,253073,2420417
Maryland,12/22/20,255397,2435353
Maryland,12/23/20,257862,2447078
Maryland,12/24/20,260728,2460491
Maryland,12/25/20,263160,2471804
Maryland,12/26/20,265440,2482720
Maryland,12/27/20,267198,2490941
Maryland,12/28/20,269183,2502325
Maryland,12/29/20,271061,2508079
Maryland,12/3/20,205399,2177942
Maryland,12/30/20,273689,2516856
Maryland,12/31/20,276662,2525806
Maryland,12/4/20,209191,2194096
Maryland,12/5/20,212384,2210796
Maryland,12/6/20,215027,2225595
Maryland,12/7/20,217329,2240700
Maryland,12/8/20,219961,2254514
Maryland,12/9/20,222653,2267585
Maryland,2/1/21,355636,2848563
Maryland,2/10/21,366666,2898536
Maryland,2/11/21,367865,2905931
Maryland,2/12/21,368977,2913743
Maryland,2/13/21,370136,2921351
Maryland,2/14/21,370983,2926402
Maryland,2/15/21,371705,2930738
Maryland,2/16/21,372221,2933581
Maryland,2/17/21,372980,2938416
Maryland,2/18/21,373966,2944984
Maryland,2/19/21,374974,2951435
Maryland,2/2/21,356541,2851690
Maryland,2/20/21,375737,2956317
Maryland,2/21/21,376355,2960703
Maryland,2/22/21,376966,2964696
Maryland,2/23/21,377628,2967660
Maryland,2/24/21,378490,2972600
Maryland,2/25/21,379466,2979131
Maryland,2/26/21,380436,2986551
Maryland,2/27/21,381272,2993098
Maryland,2/28/21,382099,2999585
Maryland,2/3/21,357483,2853838
Maryland,2/4/21,359037,2862490
Maryland,2/5/21,360584,2870127
Maryland,2/6/21,362084,2876878
Maryland,2/7/21,363650,2885052
Maryland,2/8/21,364553,2890239
Maryland,2/9/21,365529,2893656
Maryland,3/1/21,382702,3003717
Maryland,3/10/20,6,89
Maryland,3/11/20,9,94
Maryland,3/12/20,12,94
Maryland,3/13/20,17,94
Maryland,3/14/20,26,94
Maryland,3/15/20,31,94
Maryland,3/16/20,37,94
Maryland,3/17/20,57,94
Maryland,3/18/20,85,94
Maryland,3/19/20,107,94
Maryland,3/2/21,383170,3006690
Maryland,3/20/20,149,94
Maryland,3/21/20,190,94
Maryland,3/22/20,244,94
Maryland,3/23/20,288,94
Maryland,3/24/20,349,94
Maryland,3/25/20,423,94
Maryland,3/26/20,580,94
Maryland,3/27/20,774,94
Maryland,3/28/20,992,11516
Maryland,3/29/20,1239,12354
Maryland,3/3/21,383956,3012179
Maryland,3/30/20,1413,13316
Maryland,3/31/20,1660,14868
Maryland,3/4/21,384765,3018120
Maryland,3/5/20,0,17
Maryland,3/5/21,385678,3024949
Maryland,3/6/20,3,26
Maryland,3/6/21,386610,3032496
Maryland,3/7/20,3,41
Maryland,3/7/21,387319,3034546
Maryland,3/8/20,3,52
Maryland,3/9/20,5,73
Maryland,4/1/20,1985,17233
Maryland,4/10/20,6968,37480
Maryland,4/11/20,7694,39544
Maryland,4/12/20,8225,41539
Maryland,4/13/20,8936,42815
Maryland,4/14/20,9472,44261
Maryland,4/15/20,10032,45731
Maryland,4/16/20,10784,48059
Maryland,4/17/20,11572,50437
Maryland,4/18/20,12308,53062
Maryland,4/19/20,12830,55061
Maryland,4/2/20,2331,18890
Maryland,4/20/20,13684,57713
Maryland,4/21/20,14193,59442
Maryland,4/22/20,14775,61754
Maryland,4/23/20,15737,64363
Maryland,4/24/20,16616,68100
Maryland,4/25/20,17766,71357
Maryland,4/26/20,18581,78084
Maryland,4/27/20,19487,85489
Maryland,4/28/20,20113,87672
Maryland,4/29/20,20849,90080
Maryland,4/3/20,2758,20932
Maryland,4/30/20,21742,92617
Maryland,4/4/20,3125,22485
Maryland,4/5/20,3609,24728
Maryland,4/6/20,4045,25572
Maryland,4/7/20,4371,27256
Maryland,4/8/20,5529,32933
Maryland,4/9/20,6185,35344
Maryland,5/1/20,23472,97511
Maryland,5/10/20,32587,127344
Maryland,5/11/20,33373,131407
Maryland,5/12/20,34061,135442
Maryland,5/13/20,34812,138762
Maryland,5/14/20,35903,142551
Maryland,5/15/20,36986,145840
