,state,date,positive cases
0,District of Columbia,3/10/2020,4
1,District of Columbia,3/11/2020,10
2,District of Columbia,3/12/2020,10
3,District of Columbia,3/13/2020,10
4,District of Columbia,3/14/2020,16
5,District of Columbia,3/15/2020,17
6,District of Columbia,3/16/2020,22
7,District of Columbia,3/17/2020,31
8,District of Columbia,3/18/2020,36
9,District of Columbia,3/19/2020,39
10,District of Columbia,3/20/2020,71
11,District of Columbia,3/21/2020,77
12,District of Columbia,3/22/2020,98
13,District of Columbia,3/23/2020,116
14,District of Columbia,3/24/2020,137
15,District of Columbia,3/25/2020,183
16,District of Columbia,3/26/2020,231
17,District of Columbia,3/27/2020,267
18,District of Columbia,3/28/2020,304
19,District of Columbia,3/29/2020,342
20,District of Columbia,3/30/2020,401
21,District of Columbia,3/31/2020,495
22,District of Columbia,3/7/2020,1
23,District of Columbia,3/8/2020,1
24,District of Columbia,3/9/2020,4
25,District of Columbia,4/1/2020,586
26,District of Columbia,4/10/2020,1660
27,District of Columbia,4/11/2020,1778
28,District of Columbia,4/12/2020,1875
29,District of Columbia,4/13/2020,1955
30,District of Columbia,4/14/2020,2058
31,District of Columbia,4/15/2020,2197
32,District of Columbia,4/16/2020,2350
33,District of Columbia,4/17/2020,2476
34,District of Columbia,4/18/2020,2666
35,District of Columbia,4/19/2020,2793
36,District of Columbia,4/2/2020,653
37,District of Columbia,4/20/2020,2927
38,District of Columbia,4/21/2020,3098
39,District of Columbia,4/22/2020,3206
40,District of Columbia,4/23/2020,3361
41,District of Columbia,4/24/2020,3528
42,District of Columbia,4/25/2020,3699
43,District of Columbia,4/26/2020,3841
44,District of Columbia,4/27/2020,3892
45,District of Columbia,4/28/2020,3994
46,District of Columbia,4/29/2020,4106
47,District of Columbia,4/3/2020,757
48,District of Columbia,4/30/2020,4323
49,District of Columbia,4/4/2020,902
50,District of Columbia,4/5/2020,998
51,District of Columbia,4/6/2020,1097
52,District of Columbia,4/7/2020,1211
53,District of Columbia,4/8/2020,1440
54,District of Columbia,4/9/2020,1523
55,District of Columbia,5/1/2020,4658
56,District of Columbia,5/10/2020,6272
57,District of Columbia,5/11/2020,6389
58,District of Columbia,5/12/2020,6485
59,District of Columbia,5/13/2020,6584
60,District of Columbia,5/14/2020,6736
61,District of Columbia,5/15/2020,6871
62,District of Columbia,5/16/2020,7042
63,District of Columbia,5/17/2020,7123
64,District of Columbia,5/18/2020,7270
65,District of Columbia,5/19/2020,7434
66,District of Columbia,5/2/2020,4797
67,District of Columbia,5/20/2020,7551
68,District of Columbia,5/21/2020,7788
69,District of Columbia,5/22/2020,7893
70,District of Columbia,5/23/2020,7966
71,District of Columbia,5/24/2020,8110
72,District of Columbia,5/25/2020,8225
73,District of Columbia,5/26/2020,8334
74,District of Columbia,5/27/2020,8406
75,District of Columbia,5/28/2020,8492
76,District of Columbia,5/29/2020,8538
77,District of Columbia,5/3/2020,5016
78,District of Columbia,5/30/2020,8717
79,District of Columbia,5/31/2020,8801
80,District of Columbia,5/4/2020,5170
81,District of Columbia,5/5/2020,5322
82,District of Columbia,5/6/2020,5461
83,District of Columbia,5/7/2020,5654
84,District of Columbia,5/8/2020,5899
85,District of Columbia,5/9/2020,6102
86,District of Columbia,6/1/2020,8857
87,District of Columbia,6/10/2020,9537
88,District of Columbia,6/11/2020,9589
89,District of Columbia,6/12/2020,9654
90,District of Columbia,6/13/2020,9709
91,District of Columbia,6/14/2020,9767
92,District of Columbia,6/15/2020,9799
93,District of Columbia,6/16/2020,9818
94,District of Columbia,6/17/2020,9847
95,District of Columbia,6/18/2020,9903
96,District of Columbia,6/19/2020,9952
97,District of Columbia,6/2/2020,8886
98,District of Columbia,6/20/2020,9984
99,District of Columbia,6/21/2020,10020
100,District of Columbia,6/22/2020,10058
101,District of Columbia,6/23/2020,10094
102,District of Columbia,6/24/2020,10128
103,District of Columbia,6/25/2020,10159
104,District of Columbia,6/26/2020,10185
105,District of Columbia,6/27/2020,10216
106,District of Columbia,6/28/2020,10248
107,District of Columbia,6/29/2020,10292
108,District of Columbia,6/3/2020,9016
109,District of Columbia,6/30/2020,10327
110,District of Columbia,6/4/2020,9120
111,District of Columbia,6/5/2020,9199
112,District of Columbia,6/6/2020,9269
113,District of Columbia,6/7/2020,9332
114,District of Columbia,6/8/2020,9389
115,District of Columbia,6/9/2020,9474
116,District of Columbia,7/1/2020,10365
117,District of Columbia,7/10/2020,10743
118,District of Columbia,7/11/2020,10801
119,District of Columbia,7/12/2020,10847
120,District of Columbia,7/13/2020,10906
121,District of Columbia,7/14/2020,10946
122,District of Columbia,7/15/2020,11026
123,District of Columbia,7/16/2020,11076
124,District of Columbia,7/17/2020,11115
125,District of Columbia,7/18/2020,11194
126,District of Columbia,7/19/2020,11261
127,District of Columbia,7/2/2020,10390
128,District of Columbia,7/3/2020,10435
129,District of Columbia,7/4/2020,10447
130,District of Columbia,7/5/2020,10482
131,District of Columbia,7/6/2020,10515
132,District of Columbia,7/7/2020,10569
133,District of Columbia,7/8/2020,10642
134,District of Columbia,7/9/2020,10679
135,Maryland,3/10/2020,9
136,Maryland,3/11/2020,13
137,Maryland,3/12/2020,13
138,Maryland,3/13/2020,18
139,Maryland,3/14/2020,27
140,Maryland,3/15/2020,32
141,Maryland,3/16/2020,39
142,Maryland,3/17/2020,57
143,Maryland,3/18/2020,85
144,Maryland,3/19/2020,108
145,Maryland,3/20/2020,150
146,Maryland,3/21/2020,195
147,Maryland,3/22/2020,245
148,Maryland,3/23/2020,290
149,Maryland,3/24/2020,349
150,Maryland,3/25/2020,423
151,Maryland,3/26/2020,581
152,Maryland,3/27/2020,790
153,Maryland,3/28/2020,1066
154,Maryland,3/29/2020,1244
155,Maryland,3/30/2020,1415
156,Maryland,3/31/2020,1662
157,Maryland,3/5/2020,3
158,Maryland,3/6/2020,3
159,Maryland,3/7/2020,3
160,Maryland,3/8/2020,5
161,Maryland,3/9/2020,6
162,Maryland,4/1/2020,1985
